City,Sanctioned City Wise Charging Stations,EV Charging Stations Installed as on dated: 17-03-2022
Vijayawada,92,
Vishakhapatnam,71,
Tirupati,68,
Kakinada,35,
Jorhat,10,
Guwahati,10,
Patna,37,
Chandigarh,70,
Raipur,25,
Delhi,72,5
Ahmedabad,181,2
Vadodara,37,
Gandhi Nagar,10,
Surat,50,
Gurugram,30,
Karnal,10,
Sonipat,10,
Dharamshala,10,
Bengaluru,152,
Gulbarga,10,
Mangalore,10,
Kochi,50,
Thrissur,28,
Kannur,27,
Kollam,25,
Thrivananthapuram,27,
Malappuram,28,
Kozhikode,26,
Mumbai,229,
Nashik,25,
Nagpur,38,4
Thane,25,
Bhopal,63,
Indore ,117,
Jabalpur,55,
Shillong,40,
Bhubaneshwar,18,
Pondicherry,10,
Jaipur,68,
Jodhpur,37,
Kota,32,
Udaipur,37,
Ajmer,31,
Gangtok,29,
Srinagar,25,
Chennai,141,7
Coimbatore,25,
Madurai,50,
Vellore,10,
Salem,10,
Thanjavur,10,
Tiruchirappalli,25,
Erode,10,
Hyderabad,118,
Warangal,10,
Karimnagar,10,
Lucknow,37,
Varanasi,25,
Prayagraj,25,
Kanpur,25,
Noida,55,
Aligarh,10,
Saharanpur,10,
Bareilly,10,
Jhansi,10,
Dehradun,10,
Kolkata,141,
Andama,10,
Total,2877,18
